trip_id,arrival_time,departure_time,stop_id,stop_sequence
701-0,00:00:00,00:00:00,2,1
701-0,00:00:00,00:00:00,13,2
701-0,00:00:00,00:00:00,14,3
701-0,00:00:00,00:00:00,15,4
701-0,00:00:00,00:00:00,16,5
701-0,00:00:00,00:00:00,4,6
701-0,00:00:00,00:00:00,17,7
701-0,00:00:00,00:00:00,18,8
701-0,00:00:00,00:00:00,19,9
701-0,00:00:00,00:00:00,20,10
701-0,00:00:00,00:00:00,1,11
701-1,00:00:00,00:00:00,2,1
701-1,00:00:00,00:00:00,13,2
701-1,00:00:00,00:00:00,14,3
701-1,00:00:00,00:00:00,15,4
701-1,00:00:00,00:00:00,16,5
701-1,00:00:00,00:00:00,4,6
701-1,00:00:00,00:00:00,17,7
701-1,00:00:00,00:00:00,18,8
701-1,00:00:00,00:00:00,19,9
701-1,00:00:00,00:00:00,20,10
701-1,00:00:00,00:00:00,1,11
701-1,00:00:00,00:00:00,21,12
701-1,00:00:00,00:00:00,22,13
701-1,00:00:00,00:00:00,23,14
701-1,00:00:00,00:00:00,24,15
